"spec","term","b","se","p","sample"
"main_spec","inter",0.0317535687075092,0.0063736271775442,6.6340835219365e-07,"excl 2009-2012"
"dist_lag","inter",0.0365638245879892,0.0121467455350509,0.0026318422833344,"excl 2009-2012"
"dist_lag","inter_lag1",0.0186245545036168,0.00719079904054,0.00964065320107458,"excl 2009-2012"
"dist_lag","inter_lag2",0.0208767511493876,0.00744999775751774,0.00510602010844464,"excl 2009-2012"
"dist_lag","inter_lag3",0.0171800170762325,0.00925805135366069,0.06359268040571,"excl 2009-2012"
"dist_lag","inter_lag4",-0.092901523404305,0.0202359229868591,4.58693349626373e-06,"excl 2009-2012"
"rob_growth","inter",0.0114163320757474,0.0022764289504856,5.59855431124401e-07,"excl 2009-2012"
"placebo","inter",0.0228882126590251,0.00572592356230961,6.55506567679302e-05,"excl 2009-2012"
"placebo","inter_lead1",0.0146119404518559,0.00521211750079944,0.00508700602973002,"excl 2009-2012"
"placebo","inter_lead2",0.0157202905395109,0.00553488451111914,0.00453739443643713,"excl 2009-2012"
"placebo","inter_lead3",-0.0225715793629075,0.00444152053841511,3.95536070787178e-07,"excl 2009-2012"
"placebo","inter_lead4",-0.00185555440284469,0.00977236326128596,0.849417252051076,"excl 2009-2012"
"event_study","hi_lead4",-0.00201475377031127,0.0016185843856384,0.213312232713283,"excl 2009-2012"
"event_study","hi_lead3",-0.00500491529216342,0.00176149968247102,0.00452236853375867,"excl 2009-2012"
"event_study","hi_lead2",-0.00103050193063467,0.00307643721991275,0.737673193832514,"excl 2009-2012"
"event_study","hi_inter",0.0107162668459123,0.00311130950811519,0.000580085970107345,"excl 2009-2012"
"event_study","hi_lag1",0.00551704207612716,0.00269270828027157,0.0405569558365237,"excl 2009-2012"
"event_study","hi_lag2",0.00402060898375727,0.00348112333165288,0.248189111484038,"excl 2009-2012"
"event_study","hi_lag3",-0.000519798547731091,0.00238729164055972,0.827649279779752,"excl 2009-2012"
"event_study","hi_lag4",-0.0191112803835232,0.00461647918168551,3.56801604885561e-05,"excl 2009-2012"
