"spec","term","b","se","p","sample"
"main_spec","inter",0.0209711002845705,0.00427163951379486,9.64474175239174e-07,"excl 2009-2012"
"dist_lag","inter",-0.00791474770587372,0.005498431632971,0.150129958768761,"excl 2009-2012"
"dist_lag","inter_lag1",0.00368509862694815,0.00214021084568366,0.0852058302267735,"excl 2009-2012"
"dist_lag","inter_lag2",0.0155016302540646,0.00510743966982065,0.00242595404208185,"excl 2009-2012"
"dist_lag","inter_lag3",0.0237844404733093,0.00360933877456742,5.21941499753005e-11,"excl 2009-2012"
"dist_lag","inter_lag4",0.0224745309790145,0.00643244463274084,0.000483120850137663,"excl 2009-2012"
"rob_growth","inter",0.00730691840000798,0.00116524488743449,4.13166602656318e-10,"excl 2009-2012"
"placebo","inter",0.0236417880032135,0.00299667913955014,4.27455343415371e-15,"excl 2009-2012"
"placebo","inter_lead1",0.0129822088175224,0.0024798983181652,1.76847942300118e-07,"excl 2009-2012"
"placebo","inter_lead2",0.00981565210735258,0.0028256798827667,0.000520830965523862,"excl 2009-2012"
"placebo","inter_lead3",-0.00660163651222139,0.00179938037854072,0.000248060178833955,"excl 2009-2012"
"placebo","inter_lead4",-0.014979851554351,0.00605823923300568,0.0134690974164286,"excl 2009-2012"
"event_study","hi_lead4",-0.0032177725642539,0.00208794716410678,0.123397747895431,"excl 2009-2012"
"event_study","hi_lead3",0.00266225136426339,0.00116884462655024,0.0228186139666453,"excl 2009-2012"
"event_study","hi_lead2",0.00619439331450438,0.00134104436770522,4.02321737840847e-06,"excl 2009-2012"
"event_study","hi_inter",-0.00170659931886239,0.00186325122549031,0.35978249352766,"excl 2009-2012"
"event_study","hi_lag1",-0.0010195774097148,0.00113653823372958,0.36974556763899,"excl 2009-2012"
"event_study","hi_lag2",0.00798592310005329,0.00165523293403396,1.47532556102414e-06,"excl 2009-2012"
"event_study","hi_lag3",0.00999510295535754,0.0014924960903861,2.54888130989963e-11,"excl 2009-2012"
"event_study","hi_lag4",0.00707395386867139,0.00328100600890572,0.0311635640139658,"excl 2009-2012"
