"spec","term","b","se","p","sample"
"main_spec","inter",0.0222810093926793,0.00434851864609019,3.19140853842817e-07,"full 2002-2019"
"dist_lag","inter",-0.00714063601108557,0.00522929127123547,0.172200040771071,"full 2002-2019"
"dist_lag","inter_lag1",0.0095250016129716,0.00399351077868515,0.0171377422304337,"full 2002-2019"
"dist_lag","inter_lag2",0.0105550023327513,0.00396860211267543,0.00786596651674891,"full 2002-2019"
"dist_lag","inter_lag3",0.0161385628373867,0.00401248415666124,5.9163997523732e-05,"full 2002-2019"
"dist_lag","inter_lag4",0.0290406182441758,0.00668305112449558,1.43814711006212e-05,"full 2002-2019"
"rob_growth","inter",0.00773992538136621,0.00116811050992509,4.09895278837766e-11,"full 2002-2019"
"placebo","inter",0.0240124513867676,0.00367027791745141,7.13565896065802e-11,"full 2002-2019"
"placebo","inter_lead1",0.00960622645532433,0.00434662364942574,0.0271803624375525,"full 2002-2019"
"placebo","inter_lead2",0.0111349030867241,0.00455698726968455,0.014605935683742,"full 2002-2019"
"placebo","inter_lead3",-0.00336252539405381,0.00273705108594534,0.219351531543493,"full 2002-2019"
"placebo","inter_lead4",-0.0180620526006421,0.00626189389439285,0.00395016771408921,"full 2002-2019"
"event_study","hi_lead4",-0.00455543105447408,0.00200690731132863,0.0232885511429822,"full 2002-2019"
"event_study","hi_lead3",0.00444382584581084,0.00153113208442914,0.00373224252858689,"full 2002-2019"
"event_study","hi_lead2",0.00562325008743867,0.00307845044012987,0.0678557243704916,"full 2002-2019"
"event_study","hi_inter",-0.000870516391139733,0.00232113354856271,0.70765876846304,"full 2002-2019"
"event_study","hi_lag1",0.000572064644056671,0.0020599379334648,0.781255143431113,"full 2002-2019"
"event_study","hi_lag2",0.00261434437636374,0.00236499950520413,0.269064909799644,"full 2002-2019"
"event_study","hi_lag3",0.00490503921197083,0.00147098794624963,0.000865262779693818,"full 2002-2019"
"event_study","hi_lag4",0.012654415954027,0.0027202185834764,3.43556968706421e-06,"full 2002-2019"
