"spec","term","b","se","p","sample"
"main_spec","inter",0.033214409631475,0.00655844661707163,4.33501151519788e-07,"full 2002-2019"
"dist_lag","inter",0.0122308320365266,0.00852571390468725,0.151506399809924,"full 2002-2019"
"dist_lag","inter_lag1",-0.0125516108129087,0.0038012068527782,0.000970751446021765,"full 2002-2019"
"dist_lag","inter_lag2",0.029539056296029,0.00639802869884657,4.0521460136968e-06,"full 2002-2019"
"dist_lag","inter_lag3",0.0318689204496933,0.00482933297311929,4.84261668001433e-11,"full 2002-2019"
"dist_lag","inter_lag4",0.0490093744893245,0.0060144116884382,5.26466983980395e-16,"full 2002-2019"
"rob_growth","inter",0.011573148122436,0.00223691708525076,2.43975978954177e-07,"full 2002-2019"
"placebo","inter",0.0270123800457881,0.00577381013945271,3.01345544245531e-06,"full 2002-2019"
"placebo","inter_lead1",0.0181914072630865,0.00417637869427506,1.36853469106925e-05,"full 2002-2019"
"placebo","inter_lead2",0.0160163112821452,0.0047044321077025,0.000671167733832132,"full 2002-2019"
"placebo","inter_lead3",-0.0230233174487326,0.00398972307482301,8.66852065126476e-09,"full 2002-2019"
"placebo","inter_lead4",-0.0025513845231928,0.00973647026485661,0.793304713458636,"full 2002-2019"
"event_study","hi_lead4",0.00485863887403376,0.00192479939607587,0.011644290544972,"full 2002-2019"
"event_study","hi_lead3",0.00651058437284458,0.00112631549574176,8.18475984037301e-09,"full 2002-2019"
"event_study","hi_lead2",0.0048434450228806,0.00138854374982981,0.000493091393913781,"full 2002-2019"
"event_study","hi_inter",-0.00717934675089712,0.00149801003034991,1.72321938473066e-06,"full 2002-2019"
"event_study","hi_lag1",-0.00713068401799528,0.000937168530259189,3.63947136950356e-14,"full 2002-2019"
"event_study","hi_lag2",0.00827414799896956,0.00135370282236544,1.10397940594678e-09,"full 2002-2019"
"event_study","hi_lag3",0.0118497764574944,0.00114592097742087,1.14509817908764e-24,"full 2002-2019"
"event_study","hi_lag4",0.014698928450686,0.00152038194403338,8.30818502966883e-22,"full 2002-2019"
