"construction","scheme","term","b_true","se_analytic","sd_null","ratio","p_ri"
"time","free","inter",0.02219,0.00356,0.00383,1.08,0
"time","free","inter_lead1",0.00948,0.00433,0.00506,1.17,0.055
"time","free","inter_lead2",0.01043,0.00461,0.0045,0.98,0.015
"time","free","inter_lead3",-0.0035,0.00278,0.0029,1.04,0.24
"time","free","inter_lead4",-0.01771,0.00626,0.00449,0.72,0
"posn","free","inter",0.02364,0.003,0.00282,0.94,0
"posn","free","inter_lead1",0.01298,0.00248,0.00188,0.76,0
"posn","free","inter_lead2",0.00982,0.00283,0.00248,0.88,0.005
"posn","free","inter_lead3",-0.0066,0.0018,0.00165,0.92,0
"posn","free","inter_lead4",-0.01498,0.00606,0.00406,0.67,0
"time","state","inter",0.02219,0.00356,0.00283,0.8,0
"time","state","inter_lead1",0.00948,0.00433,0.00337,0.78,0.055
"time","state","inter_lead2",0.01043,0.00461,0.00361,0.78,0
"time","state","inter_lead3",-0.0035,0.00278,0.00212,0.77,0.1
"time","state","inter_lead4",-0.01771,0.00626,0.00372,0.59,0
"posn","state","inter",0.02364,0.003,0.00176,0.59,0
"posn","state","inter_lead1",0.01298,0.00248,0.00142,0.57,0
"posn","state","inter_lead2",0.00982,0.00283,0.00193,0.68,0
"posn","state","inter_lead3",-0.0066,0.0018,0.00118,0.65,0
"posn","state","inter_lead4",-0.01498,0.00606,0.00375,0.62,0
