"construction","scheme","term","b_true","se_analytic","sd_null","ratio","p_ri","n_reps","mcse_p"
"time","free","inter",0.02289,0.00573,0.00652,1.14,0,2000,0
"time","free","inter_lead1",0.01461,0.00521,0.00844,1.62,0.084,2000,0.0062
"time","free","inter_lead2",0.01572,0.00553,0.00779,1.41,0.041,2000,0.0044
"time","free","inter_lead3",-0.02257,0.00444,0.00519,1.17,0,2000,0
"time","free","inter_lead4",-0.00186,0.00977,0.00741,0.76,0.802,2000,0.0089
"posn","free","inter",0.0268,0.00563,0.00503,0.89,0,2000,0
"posn","free","inter_lead1",0.01623,0.00402,0.00345,0.86,0,2000,0
"posn","free","inter_lead2",0.00966,0.00499,0.00492,0.99,0.0485,2000,0.0048
"posn","free","inter_lead3",-0.02373,0.00372,0.00284,0.76,0,2000,0
"posn","free","inter_lead4",0.00242,0.00944,0.00732,0.78,0.7315,2000,0.0099
"time","state","inter",0.02289,0.00573,0.00501,0.88,0,2000,0
"time","state","inter_lead1",0.01461,0.00521,0.00705,1.35,0.0585,2000,0.0052
"time","state","inter_lead2",0.01572,0.00553,0.00655,1.18,0.1175,2000,0.0072
"time","state","inter_lead3",-0.02257,0.00444,0.00404,0.91,0,2000,0
"time","state","inter_lead4",-0.00186,0.00977,0.00498,0.51,0.8415,2000,0.0082
"posn","state","inter",0.0268,0.00563,0.00376,0.67,0,2000,0
"posn","state","inter_lead1",0.01623,0.00402,0.00267,0.66,0,2000,0
"posn","state","inter_lead2",0.00966,0.00499,0.00365,0.73,0.1265,2000,0.0074
"posn","state","inter_lead3",-0.02373,0.00372,0.00227,0.61,0,2000,0
"posn","state","inter_lead4",0.00242,0.00944,0.00495,0.52,0.8625,2000,0.0077
