"construction","scheme","term","b_true","se_analytic","sd_null","ratio","p_ri"
"time","free","inter",0.02523,0.00603,0.00672,1.12,0
"time","free","inter_lead1",0.01571,0.00521,0.00849,1.63,0.06
"time","free","inter_lead2",0.01724,0.0055,0.00818,1.49,0.04
"time","free","inter_lead3",-0.02171,0.00431,0.00511,1.19,0
"time","free","inter_lead4",-0.00299,0.00975,0.00793,0.81,0.65
"posn","free","inter",0.02701,0.00577,0.00545,0.94,0
"posn","free","inter_lead1",0.01819,0.00418,0.00355,0.85,0
"posn","free","inter_lead2",0.01602,0.0047,0.00515,1.09,0
"posn","free","inter_lead3",-0.02302,0.00399,0.00289,0.72,0
"posn","free","inter_lead4",-0.00255,0.00974,0.00761,0.78,0.765
"time","state","inter",0.02523,0.00603,0.00522,0.87,0
"time","state","inter_lead1",0.01571,0.00521,0.0069,1.32,0.015
"time","state","inter_lead2",0.01724,0.0055,0.00702,1.28,0.12
"time","state","inter_lead3",-0.02171,0.00431,0.00426,0.99,0
"time","state","inter_lead4",-0.00299,0.00975,0.00491,0.5,0.695
"posn","state","inter",0.02701,0.00577,0.00387,0.67,0
"posn","state","inter_lead1",0.01819,0.00418,0.00266,0.64,0
"posn","state","inter_lead2",0.01602,0.0047,0.00387,0.82,0.02
"posn","state","inter_lead3",-0.02302,0.00399,0.00224,0.56,0
"posn","state","inter_lead4",-0.00255,0.00974,0.0051,0.52,0.755
