="Table 3: Robustness Checks — Alternative Base Years and Outcome"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Main",="CBP 2003",="CBP 2013",="CBP 2014",="Growth Rate"

="ΔFFRt × Exposure (CBP 2002, main)",="0.0202***",="",="",="",="0.0073***"
="",="(0.0045)",="",="",="",="(0.0012)"

="ΔFFRt × Exposure (CBP 2003)",="",="0.0227***",="",="",=""
="",="",="(0.0050)",="",="",=""

="ΔFFRt × Exposure (CBP 2013)",="",="",="0.0189***",="",=""
="",="",="",="(0.0043)",="",=""

="ΔFFRt × Exposure (CBP 2014)",="",="",="",="0.0188***",=""
="",="",="",="",="(0.0042)",=""

="N",="155757",="152895",="151684",="151738",="155757"
="Mean Dep. Var.",="    9.155",="    9.155",="    9.155",="    9.155",="    9.155"
="County FE",="Yes",="Yes",="Yes",="Yes",="Yes"
="Quarter FE",="Yes",="Yes",="Yes",="Yes",="Yes"
="R-squared",="0.9927",="0.9927",="0.9946",="0.9946",="0.0424"

="Standard errors in parentheses"
="SE clustered by county. Col 5 outcome = quarter-on-quarter log emp change."
="* p<0.10, ** p<0.05, *** p<0.01"
