="Table 5: Event Study Coefficients — High vs Low Exposure"

="",="(1)"
="",="ln(Employment)"

="ΔFFRt+4 × High",="-0.0093***"
="",="(0.0021)"

="ΔFFRt+3 × High",="0.0025"
="",="(0.0043)"

="ΔFFRt+2 × High",="0.0027"
="",="(0.0035)"

="ΔFFRt × High",="0.0194***"
="",="(0.0054)"

="ΔFFRt-1 × High",="-0.0079*"
="",="(0.0045)"

="ΔFFRt-2 × High",="0.0128**"
="",="(0.0057)"

="ΔFFRt-3 × High",="-0.0072*"
="",="(0.0042)"

="ΔFFRt-4 × High",="0.0013"
="",="(0.0065)"

="N",="109594"
="Mean Dep. Var.",="    9.155"
="County FE",="Yes"
="Quarter FE",="Yes"
="R-squared",="0.9944"

="Standard errors in parentheses"
="SE clustered by county. High = above-median constr+manuf share."
="Reference period: t−1 (omitted, normalized to zero)."
="* p<0.10, ** p<0.05, *** p<0.01"
