"h","b_raw","se_raw","n_raw","b_sur","se_sur","n_sur","se_ratio","p_raw","p_sur","sample","counties"
0,0.15773644713746,0.124392216516488,221781,-0.488065804538171,0.740866884623648,221781,5.95589423013011,0.204777520544634,0.510039203468163,"full (published)",3127
1,0.392844952540239,0.15180006787598,218643,-0.568032002421244,0.916329516821981,218643,6.03642363039402,0.00965601341852552,0.535324103633198,"full (published)",3127
2,0.704304284282269,0.165985947570668,215514,-1.11588856917523,0.993382849162656,215514,5.98474065848091,2.2039802390438e-05,0.261300865983507,"full (published)",3127
3,0.785403786545011,0.153380176220739,212388,-1.12578875913932,1.53067706373895,212388,9.97962775538905,3.04509711973771e-07,0.462044673556497,"full (published)",3127
4,0.90504036168862,0.261304382106028,209262,-1.53501508867952,1.83415863071486,209262,7.01924175910155,0.000533100777436028,0.40264641103248,"full (published)",3127
5,0.958108855395178,0.334329940007586,206136,-1.5713062987386,2.0514597012786,206136,6.13603346811252,0.00416011519424855,0.443708739245912,"full (published)",3127
6,1.02776828926844,0.308885519418948,203012,-1.56691833355611,2.48202406617887,203012,8.03541736384361,0.000876781571219284,0.527840030390687,"full (published)",3127
7,0.902968876834873,0.303062633889389,199887,-1.08890738539163,2.73379721423685,199887,9.02056838598789,0.00288738636815016,0.690399366925798,"full (published)",3127
8,0.792104671081145,0.348155624203372,196759,-1.70797127828041,2.69743744644814,196759,7.74779224842409,0.0228972082376268,0.526614207911568,"full (published)",3127
9,0.646095422914597,0.41376596142881,193631,-1.46975106372749,2.64472005906806,193631,6.39182606982787,0.118405895558387,0.578395241848053,"full (published)",3127
10,0.61891820569234,0.431306697884227,190504,-1.45062583436129,2.71145807177629,190504,6.2866124849842,0.151291660235903,0.592650937074529,"full (published)",3127
11,0.404149068248365,0.473593030809756,187378,-1.5223329516395,2.80950152588334,187378,5.93231180171637,0.393455342417581,0.587920727904912,"full (published)",3127
12,0.213357167915353,0.548687267394837,184252,-1.96214091137514,2.90847651600949,184252,5.30079097665035,0.697386943966522,0.499911873233842,"full (published)",3127
0,0.136420898072623,0.089170474532811,199572,-0.43585823269456,0.567447731221559,199572,6.36362803040554,0.126044290001406,0.442426070129401,"drop smallest 1",2814
