"h","b_raw","se_raw","n_raw","b_sur","se_sur","n_sur","p_raw","p_sur","se_ratio","window"
0,0.183664457624362,0.0802002533863232,158604,0.00233985076719469,0.492618365846496,158604,0.0220170688001024,0.996210202641097,6.14235423264266,"excl 2009-2012"
1,0.405607435969792,0.110959402087399,155710,-0.457482329359937,0.80274404846553,155710,0.000256723220444268,0.568746795592187,7.23457438814634,"excl 2009-2012"
2,0.699383403373222,0.148524951016611,152820,-0.968760009734351,1.17554921392366,152820,2.4910442248367e-06,0.409887620382354,7.91482647109027,"excl 2009-2012"
3,0.851207442243134,0.144646302060165,149934,-1.10814759398256,1.86750643818577,149934,3.98654186251934e-09,0.552924497432885,12.9108481280703,"excl 2009-2012"
4,1.04181631583131,0.216458019053227,147050,-1.25154329736051,2.20852636077956,147050,1.48667982782977e-06,0.570926817892562,10.2030239879285,"excl 2009-2012"
5,1.14613538750691,0.264607937688094,144165,-1.64544864572212,2.604809349436,144165,1.48132277272448e-05,0.527585291668471,9.84403329769499,"excl 2009-2012"
6,1.22396307564834,0.266562682276863,141282,-1.75967680347184,3.1131336276406,141282,4.39751171969893e-06,0.57190853377203,11.6788051540056,"excl 2009-2012"
7,1.17143616709464,0.285166405459638,138397,-1.41953287223749,3.46867582436741,138397,3.99266290399129e-05,0.682361008592278,12.1636902452676,"excl 2009-2012"
8,1.13307897897078,0.321478640702003,135510,-1.63690936658816,3.48869110731997,135510,0.000424145794318804,0.638923510247795,10.8520152371611,"excl 2009-2012"
9,1.01750413517331,0.361750939505995,132624,-1.40554399212643,3.55677486815068,132624,0.00491243926713254,0.692714678510596,9.8321095530748,"excl 2009-2012"
10,0.952125635309705,0.380282674975075,129738,-1.47306059275833,3.62281698210459,129738,0.0122891325435839,0.684297091502708,9.5266422072529,"excl 2009-2012"
11,0.75865323066925,0.429005973164809,126856,-1.82802418939441,3.70038812405903,126856,0.0769944196184968,0.621299985123681,8.62549324607532,"excl 2009-2012"
12,0.603165276467736,0.49704224789205,123973,-1.71850208112952,3.72791286636879,123973,0.224935248413163,0.644811259027052,7.50019315697774,"excl 2009-2012"
