"h","b_raw","se_raw","n_raw","b_sur","se_sur","n_sur","p_raw","p_sur","se_ratio","window"
0,0.15773644713746,0.124392216516488,221781,-0.488065804538171,0.740866884623648,221781,0.204777520544634,0.510039203468163,5.95589423013011,"full 2002-2019"
1,0.392844952540239,0.15180006787598,218643,-0.568032002421244,0.916329516821981,218643,0.00965601341852552,0.535324103633198,6.03642363039402,"full 2002-2019"
2,0.704304284282269,0.165985947570668,215514,-1.11588856917523,0.993382849162656,215514,2.2039802390438e-05,0.261300865983507,5.98474065848091,"full 2002-2019"
3,0.785403786545011,0.153380176220739,212388,-1.12578875913932,1.53067706373895,212388,3.04509711973771e-07,0.462044673556497,9.97962775538905,"full 2002-2019"
4,0.90504036168862,0.261304382106028,209262,-1.53501508867952,1.83415863071486,209262,0.000533100777436028,0.40264641103248,7.01924175910155,"full 2002-2019"
5,0.958108855395178,0.334329940007586,206136,-1.5713062987386,2.0514597012786,206136,0.00416011519424855,0.443708739245912,6.13603346811252,"full 2002-2019"
6,1.02776828926844,0.308885519418948,203012,-1.56691833355611,2.48202406617887,203012,0.000876781571219284,0.527840030390687,8.03541736384361,"full 2002-2019"
7,0.902968876834873,0.303062633889389,199887,-1.08890738539163,2.73379721423685,199887,0.00288738636815016,0.690399366925798,9.02056838598789,"full 2002-2019"
8,0.792104671081145,0.348155624203372,196759,-1.70797127828041,2.69743744644814,196759,0.0228972082376268,0.526614207911568,7.74779224842409,"full 2002-2019"
9,0.646095422914597,0.41376596142881,193631,-1.46975106372749,2.64472005906806,193631,0.118405895558387,0.578395241848053,6.39182606982787,"full 2002-2019"
10,0.61891820569234,0.431306697884227,190504,-1.45062583436129,2.71145807177629,190504,0.151291660235903,0.592650937074529,6.2866124849842,"full 2002-2019"
11,0.404149068248365,0.473593030809756,187378,-1.5223329516395,2.80950152588334,187378,0.393455342417581,0.587920727904912,5.93231180171637,"full 2002-2019"
12,0.213357167915353,0.548687267394837,184252,-1.96214091137514,2.90847651600949,184252,0.697386943966522,0.499911873233842,5.30079097665035,"full 2002-2019"
